omitted_review_row_index	remaining_clusters	scope	target	metric	reviewed_model_assessments	positive_model_assessments	auc	best_threshold	best_f1	precision	recall	true_positive	false_positive	false_negative
20	29	overall	human_decision_change_yes_or_uncertain	ceis_max	87	16	0.9129	5.0	0.64	0.4706	1.0	16	18	0
21	29	overall	human_decision_change_yes	wer	87	16	0.6915	42.59	0.4615	0.3913	0.5625	9	14	7
21	29	overall	human_decision_change_yes	cer	87	16	0.7232	16.42	0.459	0.3111	0.875	14	31	2
21	29	overall	human_decision_change_yes	sres_total	87	16	0.8961	270.0	0.6512	0.5185	0.875	14	13	2
21	29	overall	human_decision_change_yes	ceis_max	87	16	0.9129	5.0	0.64	0.4706	1.0	16	18	0
21	29	overall	human_decision_change_yes_or_uncertain	wer	87	16	0.6915	42.59	0.4615	0.3913	0.5625	9	14	7
21	29	overall	human_decision_change_yes_or_uncertain	cer	87	16	0.7232	16.42	0.459	0.3111	0.875	14	31	2
21	29	overall	human_decision_change_yes_or_uncertain	sres_total	87	16	0.8961	270.0	0.6512	0.5185	0.875	14	13	2
21	29	overall	human_decision_change_yes_or_uncertain	ceis_max	87	16	0.9129	5.0	0.64	0.4706	1.0	16	18	0
22	29	overall	human_decision_change_yes	wer	87	16	0.6915	42.59	0.4615	0.3913	0.5625	9	14	7
22	29	overall	human_decision_change_yes	cer	87	16	0.7188	16.42	0.4516	0.3043	0.875	14	32	2
22	29	overall	human_decision_change_yes	sres_total	87	16	0.8961	270.0	0.6512	0.5185	0.875	14	13	2
22	29	overall	human_decision_change_yes	ceis_max	87	16	0.9129	5.0	0.64	0.4706	1.0	16	18	0
22	29	overall	human_decision_change_yes_or_uncertain	wer	87	16	0.6915	42.59	0.4615	0.3913	0.5625	9	14	7
22	29	overall	human_decision_change_yes_or_uncertain	cer	87	16	0.7188	16.42	0.4516	0.3043	0.875	14	32	2
22	29	overall	human_decision_change_yes_or_uncertain	sres_total	87	16	0.8961	270.0	0.6512	0.5185	0.875	14	13	2
